Year,population,index,percentage,New_h_S
1990,6664016,152.3,1.5,534000
1991,6784280,155,1.8,509000
1992,6897214,157.6,1.66,610000
1993,7042818,160.9,2.11,666000
1994,7187398,164.2,2.05,670000
1995,7344674,167.8,2.19,667000
1996,7500670,171.4,2.12,757000
1997,7656825,175,2.08,804000
1998,7809121,178.5,1.99,886000
1999,7949361,181.7,1.8,880000
2000,8081614,184.7,1.66,877000
2001,8210122,187.6,1.59,908000
2002,8326201,190.3,1.41,973000
2003,8422501,192.5,1.16,1086000
2004,8553152,195.5,1.55,1203000
2005,8705407,198.9,1.78,1283000
2006,8917270,203.8,2.43,1051000
2007,9118037,208.4,2.25,776000
2008,9309449,212.7,2.1,485000
2009,9449566,215.9,1.51,375000
2010,9574586,218.8,1.32,323000
2011,9658913,220.7,0.88,306000
2012,9751810,222.8,0.96,368000
2013,9846717,225,0.97,429000
2014,9937295,227.1,0.92,437000
2015,10037218,229.4,1.01,501000
2016,10161802,232.2,1.24,561000
2017,10275758,234.8,1.12,1613000
2018,10391358,237.5,1.12,1617000
2019,10501384,240,1.5,1683000
2020,10600823,242.2,1.6,1815000
