region,T_North_Carolina
wyoming,153
north dakota,189
vermont,212
arkansas,327
rhode island,444
 montana,563
south dakota,565
iowa,654
idaho,675
maine,824
delaware,954
utah,961
nevada,1048
nebraska,1056
district of columbia,1135
oregon,1175
mississippi,1273
minnesota,1294
oklahoma,1390
kentucky,1637
new mexico,1737
hawaii,1806
connecticut,1975
new hampshire,2078
wisconsin,2291
missouri,2638
west virginia,2780
louisiana,2936
indiana,3228
washington,3295
colorado,3919
alaska,3991
arizona,4286
kansas,4995
alabama,5420
llinois,5971
tennessee,6057
texas,6621
michigan,7530
massachusetts,9053
pennsylvania,9450
ohio,10187
new jersey,10374
maryland,10485
california,15373
georgia,16192
new york,18321
south carolina,20427
virginia,27302
florida,28044
