NC_conties,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Alamance ,"151,431","152,692","153,265","154,162","155,384","157,037","160,283","163,276","166,514","169,509"
Alexander ,"37,233","37,026","36,922","37,012","36,987","36,960","37,133","37,143","37,331","37,497"
Alleghany,"11,137","11,016","10,943","10,903","10,891","10,856","10,919","10,988","11,138","11,137"
Anson,"26,852","26,512","26,309","25,957","25,965","25,602","25,165","24,829","24,470","24,446"
Ashe,"27,228","26,986","26,924","26,840","26,764","26,628","26,600","26,787","27,099","27,203"
Avery,"17,799","17,770","17,611","17,654","17,650","17,486","17,442","17,517","17,528","17,557"
Beaufor,"47,822","47,675","47,431","47,382","47,339","47,389","47,369","47,033","47,056","46,994"
Bertie,"21,245","20,858","20,494","20,326","20,316","20,162","19,423","19,263","19,106","18,947"
Bladen,"35,181","34,880","34,807","34,618","34,361","34,083","33,638","33,443","33,151","32,722"
Brunswick,"108,069","110,185","112,013","114,922","118,305","122,211","126,304","130,859","136,880","142,820"
Buncomb,"238,738","241,172","243,655","246,807","249,084","251,954","254,955","257,071","259,259","261,191"
Burke,"90,580","90,542","89,974","89,354","89,296","89,341","89,451","90,157","90,405","90,485"
Cabarrus,"178,562","181,175","184,340","187,240","191,680","196,396","201,639","206,988","211,597","216,453"
Caldwell,"83,022","82,451","82,081","82,048","81,667","81,518","81,766","81,933","82,026","82,178"
Camden,"10,009","10,024","10,003","10,116","10,278","10,282","10,397","10,532","10,676","10,867"
Carteret ,"66,700","67,418","67,770","68,388","68,629","68,712","68,808","68,921","69,438","69,473"
Caswell,"23,750","23,456","23,042","23,093","22,807","22,813","22,755","22,616","22,634","22,604"
Catawba,"154,730","154,459","154,693","154,965","155,085","155,527","156,448","157,852","158,687","159,551"
Chatham,"63,845","64,109","64,527","65,243","66,669","68,263","69,642","71,189","73,127","74,470"
Cherokee,"27,435","27,180","27,034","27,125","27,078","27,102","27,809","27,954","28,369","28,612"
Chowan ,"14,738","14,807","14,695","14,668","14,502","14,248","14,201","14,029","14,065","13,943"
Clay County,"10,608","10,686","10,654","10,597","10,566","10,623","10,749","11,004","11,124","11,231"
Cleveland ,"97,917","97,442","97,317","96,873","97,009","96,850","96,960","97,134","97,519","97,947"
Columbu,"57,992","57,705","57,534","57,080","56,883","56,675","56,292","56,047","55,819","55,508"
Craven,"104,171","104,831","105,319","104,285","104,055","102,853","102,632","102,492","102,338","102,139"
Cumberland,"327,197","330,503","329,985","332,997","332,364","331,203","333,167","330,994","333,430","335,509"
Currituck ,"23,674","23,906","24,025","24,253","24,820","25,106","25,640","26,290","27,016","27,763"
Dare County,"33,982","34,156","34,383","34,810","34,894","35,468","35,829","36,199","36,607","37,009"
Davidson,"162,840","162,923","163,040","163,295","163,383","163,486","164,270","165,180","166,358","167,609"
Davie,"41,254","41,335","41,281","41,435","41,259","41,648","41,921","42,308","42,563","42,846"
Duplin ,"58,666","59,216","59,449","59,328","59,432","58,883","59,275","58,943","58,991","58,741"
Durham,"271,357","276,563","282,659","288,723","295,137","300,793","307,826","312,153","316,979","321,488"
Edgecomb,"56,619","56,050","55,675","55,422","54,866","53,743","53,283","52,756","51,984","51,472"
Forsyth,"351,374","354,524","357,598","360,594","364,439","367,365","371,260","375,840","379,216","382,295"
Franklin,"60,835","60,946","61,405","62,074","62,691","63,668","64,676","66,155","67,625","69,685"
Gaston,"206,114","206,886","207,903","209,212","210,545","212,919","216,622","219,656","222,630","224,529"
Gates,"12,165","12,043","11,890","11,703","11,633","11,531","11,569","11,514","11,563","11,562"
Graham ,"8,867","8,811","8,707","8,719","8,621","8,588","8,531","8,524","8,461","8,441"
Granville,"57,673","57,503","57,557","57,762","57,995","58,162","58,684","59,372","59,979","60,443"
Greene,"21,258","21,514","21,191","21,011","21,012","20,950","21,078","20,963","21,106","21,069"
Guilford,"489,618","494,953","500,514","506,400","512,233","517,053","524,265","528,243","532,607","537,174"
Halifax,"54,470","54,114","53,732","53,187","52,833","52,182","51,815","51,311","50,634","50,010"
Harnett,"115,753","119,178","122,204","125,028","126,685","128,034","130,674","132,395","134,336","135,976"
Haywood,"58,932","58,726","58,640","58,962","59,132","59,646","60,405","61,005","61,890","62,317"
Henderson ,"106,891","107,370","107,768","108,879","110,258","111,847","113,583","115,216","116,500","117,417"
Hertford,"24,764","24,718","24,600","24,575","24,582","24,373","24,209","23,923","23,878","23,677"
Hoke,"47,496","49,468","50,483","51,155","51,586","52,739","52,981","54,138","54,695","55,234"
Hyde,"5,811","5,798","5,689","5,654","5,600","5,426","5,434","5,240","5,026","4,937"
Iredell,"159,778","161,037","162,670","164,582","166,498","169,453","172,466","175,634","178,332","181,806"
Jackson,"40,368","40,240","40,636","41,001","40,920","41,305","42,622","43,224","43,600","43,938"
Johnston,"169,678","172,446","174,383","177,227","180,710","185,104","190,843","196,374","202,692","209,339"
Jones ,"10,143","10,060","10,071","10,007","9,851","9,777","9,588","9,573","9,613","9,419"
Lee,"57,877","58,531","59,240","59,762","59,401","59,371","59,646","60,403","61,208","61,779"
Lenoir,"59,488","59,411","59,114","58,732","58,255","57,981","57,240","56,622","55,990","55,949"
Lincoln,"78,134","78,297","78,729","79,111","79,446","80,607","81,229","82,557","84,092","86,111"
McDowell,"45,102","45,053","44,999","45,021","45,007","44,967","44,866","45,083","45,465","45,756"
Macon,"33,959","33,887","33,806","33,738","33,824","34,090","34,262","34,581","35,274","35,858"
Madison,"20,777","20,845","20,882","21,147","21,187","21,146","21,367","21,563","21,665","21,755"
Martin ,"24,506","24,186","23,845","23,637","23,435","23,262","23,122","22,763","22,660","22,440"
Mecklenburg,"923,242","943,823","967,063","990,677","1,010,229","1,033,238","1,056,901","1,078,128","1,093,750","1,110,356"
Mitchell,"15,512","15,356","15,330","15,282","15,174","15,071","14,996","14,992","14,996","14,964"
